Model,CV_Accuracy,Test_Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.674,0.6646,0.6698,0.2773,0.3923,0.6576
SVM (RBF),0.6532,0.622,0.5159,0.5078,0.5118,0.6444
KNN (k=7),0.6404,0.5899,0.457,0.2695,0.3391,0.5995
Logistic Regression,0.5055,0.5259,0.4164,0.5352,0.4684,0.548
